Text|Rating|Votes|J/N
Chuck Norris got Coronavirus. Now the Coronavirus is in isolation.|4.17|296|j
Chuck Norris threw a grenade and killed 50 people, then it exploded.|4.14|8736|j
"When Chuck Norris was in middle school, his English teacher assigned an essay: ""What is courage?"" He received an A+ for turning in a blank page with only his name at the top."|4.12|7288|j
Death once had a near-Chuck-Norris experience.|4.12|6123|j
Chuck Norris can strangle you with a cordless phone.|4.11|6526|j
Once a cobra bit Chuck Norris' leg. After five days of excruciating pain, the cobra died.|4.11|6334|j
Chuck Norris can hear sign language.|4.11|6170|j
Chuck Norris can kill two stones with one bird.|4.11|6007|j
Chuck Norris counted to infinity. Twice.|4.11|5272|j
Chuck Norris beat the sun in a staring contest.|4.11|5084|j
"Chuck Norris was once charged with three attempted murders in Boulder County, but the Judge quickly dropped the charges because Chuck Norris does not ""attempt"" murder."|4.11|4942|j
Leading hand sanitizers claim they can kill 99.9 percent of germs. Chuck Norris can kill 100 percent of whatever the hell he wants.|4.11|4699|j
Chuck Norris was once on Celebrity Wheel of Fortune and was the first to spin. The next 29 minutes of the show consisted of everyone standing around awkwardly, waiting for the wheel to stop.|4.11|4574|j
Chuck Norris is the reason Waldo is hiding.|4.11|4533|j
Giraffes were created when Chuck Norris uppercutted a horse.|4.11|4441|j
Chuck Norris can build a snowman out of rain.|4.11|4432|j
When Chuck Norris enters a room, he doesn't turn the lights on, he turns the dark off.|4.11|4402|j
When Chuck Norris gives you the finger, he's telling you how many seconds you have left to live.|4.11|4294|j
Chuck Norris makes onions cry.|4.11|4288|j
There is no theory of evolution, just a list of creatures Chuck Norris allows to live.|4.11|4166|j
Chuck Norris can do a wheelie on a unicycle.|4.11|4150|j
Chuck Norris is the only person that can punch a cyclops between the eye.|4.11|4083|j
If it looks like chicken, tastes like chicken, and feels like chicken but Chuck Norris says its beef, then it's beef.|4.11|4015|j
Chuck Norris tells Simon what to do.|4.11|3857|j
Chuck actually died four years ago, but the Grim Reaper can't get up the courage to tell him.|4.11|3727|j
When a zombie apocalypse starts, Chuck Norris doesn't try to survive. The zombies do.|4.11|3652|j
Chuck Norris doesn't cheat death. He wins fair and square.|4.11|3630|j
When the Boogeyman goes to sleep every night he checks his closet for Chuck Norris.|4.11|3565|j
Chuck Norris can speak braille.|4.11|3479|j
Chuck Norris plays russian roulette with a fully loded revolver... and wins.|4.11|3058|j
Chuck Norris has a diary. It's called the Guinness Book of World Records.|4.11|2232|j
Chuck Norris' calendar goes straight from March 31st to April 2nd. No one fools Chuck Norris. |4.1|4775|j
"Chuck Norris doesn't play ""hide-and-seek."" He plays ""hide-and-pray-I-don't-find-you."""|4.1|4695|j
Chuck Norris can drown a fish.|4.1|4331|j
Chuck Norris once went to mars. Thats why there are no signs of life.|4.1|4253|j
Chuck Norris can pick oranges from an apple tree and make the best lemonade youve ever tasted.|4.1|4250|j
Chuck Norris's Blood Type is AK-47.|4.1|4219|j
Chuck can set ants on fire with a magnifying glass. At night.|4.1|4201|j
"Chuck Norris puts the ""laughter"" in ""manslaughter""."|4.1|3869|j
The reason the Holy Grail has never been recovered is because nobody is brave enough to ask Chuck Norris to give up his favourite coffee mug.|4.1|3766|j
Bill Gates lives in constant fear that Chuck Norris' PC will crash.|4.1|3541|j
Chuck Norris doesn't dial the wrong number, you pick up the wrong phone.|4.1|3519|j
Chuck Norris sleeps with a pillow under his gun.|4.1|3449|j
"Chuck Norris's computer has no ""backspace"" button, Chuck Norris doesn't make mistakes."|4.1|3332|j
Chuck Norris is the only person on the planet that can kick you in the back of the face.|4.1|3328|j
Chuck Norris doesnt wear a watch. He decides what time it is.|4.1|3279|j
Chuck Norris will never have a heart attack... even a heart isnt foolish enough to attack Chuck Norris.|4.1|3066|j
Chuck Norris doesn't have good aim. His bullets just know better than to miss.|4.1|2835|j
The only time Chuck Norris was wrong was when he thought he had made a mistake.|4.1|2728|j
"Chuck Norris does not say ""thank you"", that would imply you had the option to decline his request."|4.1|108|j
Chuck Norris earned a lifetime achievement award in just one day.|4.1|94|j
Chuck Norris can speak French... In Russian.|4.09|4440|j
A bulletproof vest wears Chuck Norris for protection.|4.09|4398|j
